timestamp,code10,vout_v,resistance_ohm,temp_raw_c,temp_comp_c,error_c
2025-10-31T17:47:00.8096739-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8096739-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8096739-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,705,2.274194,22169.81,5.728,5.728,0.000
2025-10-31T17:47:00.8096739-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,709,2.287097,22579.62,5.314,5.314,0.000
2025-10-31T17:47:00.8096739-07:00,717,2.312903,23431.37,4.481,4.481,0.000
2025-10-31T17:47:00.8096739-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8096739-07:00,708,2.283871,22476.19,5.418,5.418,0.000
2025-10-31T17:47:00.8096739-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8096739-07:00,715,2.306452,23214.29,4.690,4.690,0.000
2025-10-31T17:47:00.8096739-07:00,712,2.296774,22893.89,5.003,5.003,0.000
2025-10-31T17:47:00.8173346-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8173346-07:00,713,2.300000,23000.00,4.899,4.899,0.000
2025-10-31T17:47:00.8173346-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8179532-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8179532-07:00,710,2.290323,22683.71,5.211,5.211,0.000
2025-10-31T17:47:00.8179532-07:00,719,2.319355,23651.32,4.272,4.272,0.000
2025-10-31T17:47:00.8191537-07:00,511,1.648387,9980.47,25.051,25.051,0.000
2025-10-31T17:47:00.8191537-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8191537-07:00,494,1.593548,9338.37,26.782,26.782,0.000
2025-10-31T17:47:00.8191537-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8191537-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8191537-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8266580-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.8359209-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.8445779-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.8517130-07:00,492,1.587097,9265.54,26.987,26.987,0.000
2025-10-31T17:47:00.8620923-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8765604-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:00.8847218-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.8938775-07:00,492,1.587097,9265.54,26.987,26.987,0.000
2025-10-31T17:47:00.9023191-07:00,493,1.590323,9301.89,26.885,26.885,0.000
2025-10-31T17:47:00.9104376-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.9262128-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.9354628-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.9432419-07:00,493,1.590323,9301.89,26.885,26.885,0.000
2025-10-31T17:47:00.9515257-07:00,489,1.577419,9157.30,27.296,27.296,0.000
2025-10-31T17:47:00.9673202-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.9761780-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:00.9847063-07:00,493,1.590323,9301.89,26.885,26.885,0.000
2025-10-31T17:47:00.9961633-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:01.0044881-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:01.0153567-07:00,494,1.593548,9338.37,26.782,26.782,0.000
2025-10-31T17:47:01.0261090-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:01.0371496-07:00,492,1.587097,9265.54,26.987,26.987,0.000
2025-10-31T17:47:01.0427974-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:01.0512906-07:00,491,1.583871,9229.32,27.090,27.090,0.000
2025-10-31T17:47:01.0603881-07:00,493,1.590323,9301.89,26.885,26.885,0.000
2025-10-31T17:47:01.0768303-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:01.0874715-07:00,490,1.580645,9193.25,27.193,27.193,0.000
2025-10-31T17:47:01.0934305-07:00,493,1.590323,9301.89,26.885,26.885,0.000
2025-10-31T17:47:01.1071368-07:00,492,1.587097,9265.54,26.987,26.987,0.000
