time,code10,Vout,Rntc,TempC
19:34:43.036,485,1.5645,9014.9,27.71
19:34:43.096,485,1.5645,9014.9,27.71
19:34:43.156,485,1.5645,9014.9,27.71
19:34:43.216,485,1.5645,9014.9,27.71
19:34:43.276,485,1.5645,9014.9,27.71
19:34:43.336,485,1.5645,9014.9,27.71
19:34:43.399,485,1.5645,9014.9,27.71
19:34:43.456,485,1.5645,9014.9,27.71
19:34:43.517,487,1.5710,9085.8,27.50
19:34:43.577,487,1.5710,9085.8,27.50
19:34:43.637,487,1.5710,9085.8,27.50
19:34:43.697,487,1.5710,9085.8,27.50
19:34:43.819,487,1.5710,9085.8,27.50
19:34:44.019,487,1.5710,9085.8,27.50
19:34:44.220,488,1.5742,9121.5,27.40
19:34:44.420,487,1.5710,9085.8,27.50
19:34:44.621,487,1.5710,9085.8,27.50
19:34:44.821,487,1.5710,9085.8,27.50
19:34:45.022,487,1.5710,9085.8,27.50
19:34:45.223,487,1.5710,9085.8,27.50
19:34:45.422,488,1.5742,9121.5,27.40
19:34:45.624,487,1.5710,9085.8,27.50
19:34:45.823,486,1.5677,9050.3,27.60
19:34:46.024,488,1.5742,9121.5,27.40
19:34:46.224,488,1.5742,9121.5,27.40
19:34:46.425,487,1.5710,9085.8,27.50
19:34:46.625,487,1.5710,9085.8,27.50
19:34:46.826,488,1.5742,9121.5,27.40
19:34:47.026,486,1.5677,9050.3,27.60
19:34:47.227,488,1.5742,9121.5,27.40
19:34:47.427,487,1.5710,9085.8,27.50
19:34:47.628,488,1.5742,9121.5,27.40
19:34:47.829,488,1.5742,9121.5,27.40
19:34:48.029,488,1.5742,9121.5,27.40
19:34:48.229,488,1.5742,9121.5,27.40
19:34:48.429,490,1.5806,9193.2,27.19
19:34:48.630,488,1.5742,9121.5,27.40
19:34:48.831,488,1.5742,9121.5,27.40
19:34:49.031,488,1.5742,9121.5,27.40
19:34:49.231,487,1.5710,9085.8,27.50
19:34:49.432,488,1.5742,9121.5,27.40
19:34:49.632,487,1.5710,9085.8,27.50
19:34:49.833,488,1.5742,9121.5,27.40
19:34:50.033,487,1.5710,9085.8,27.50
19:34:50.234,488,1.5742,9121.5,27.40
19:34:50.433,488,1.5742,9121.5,27.40
19:34:50.634,485,1.5645,9014.9,27.71
19:34:50.834,488,1.5742,9121.5,27.40
19:34:51.035,487,1.5710,9085.8,27.50
19:34:51.236,487,1.5710,9085.8,27.50
19:34:51.436,487,1.5710,9085.8,27.50
19:34:51.637,488,1.5742,9121.5,27.40
19:34:51.837,488,1.5742,9121.5,27.40
19:34:52.038,488,1.5742,9121.5,27.40
19:34:52.238,487,1.5710,9085.8,27.50
19:34:52.438,488,1.5742,9121.5,27.40
19:34:52.639,488,1.5742,9121.5,27.40
19:34:52.839,488,1.5742,9121.5,27.40
19:34:53.040,488,1.5742,9121.5,27.40
19:34:53.240,487,1.5710,9085.8,27.50
19:34:53.440,488,1.5742,9121.5,27.40
19:34:53.640,487,1.5710,9085.8,27.50
19:34:53.841,487,1.5710,9085.8,27.50
19:34:54.041,488,1.5742,9121.5,27.40
19:34:54.242,487,1.5710,9085.8,27.50
19:34:54.442,486,1.5677,9050.3,27.60
19:34:54.643,486,1.5677,9050.3,27.60
19:34:54.844,486,1.5677,9050.3,27.60
19:34:55.044,485,1.5645,9014.9,27.71
19:34:55.244,485,1.5645,9014.9,27.71
19:34:55.445,484,1.5613,8979.6,27.81
19:34:55.645,475,1.5323,8667.9,28.75
19:34:55.846,484,1.5613,8979.6,27.81
19:34:56.045,482,1.5548,8909.4,28.02
19:34:56.246,483,1.5581,8944.4,27.92
19:34:56.447,483,1.5581,8944.4,27.92
19:34:56.647,482,1.5548,8909.4,28.02
19:34:56.847,481,1.5516,8874.5,28.12
19:34:57.048,488,1.5742,9121.5,27.40
19:34:57.248,480,1.5484,8839.8,28.23
19:34:57.449,480,1.5484,8839.8,28.23
19:34:57.649,479,1.5452,8805.1,28.33
19:34:57.849,479,1.5452,8805.1,28.33
19:34:58.050,478,1.5419,8770.6,28.43
19:34:58.251,471,1.5194,8532.6,29.16
19:34:58.451,478,1.5419,8770.6,28.43
19:34:58.651,477,1.5387,8736.3,28.54
19:34:58.852,476,1.5355,8702.0,28.64
19:34:59.053,471,1.5194,8532.6,29.16
19:34:59.253,475,1.5323,8667.9,28.75
19:34:59.454,475,1.5323,8667.9,28.75
19:34:59.654,475,1.5323,8667.9,28.75
19:34:59.855,474,1.5290,8633.9,28.85
19:35:00.055,473,1.5258,8600.0,28.95
19:35:00.256,473,1.5258,8600.0,28.95
19:35:00.456,472,1.5226,8566.2,29.06
19:35:00.656,472,1.5226,8566.2,29.06
19:35:00.857,472,1.5226,8566.2,29.06
19:35:01.057,471,1.5194,8532.6,29.16
19:35:01.258,471,1.5194,8532.6,29.16
19:35:01.458,470,1.5161,8499.1,29.27
19:35:01.658,470,1.5161,8499.1,29.27
19:35:01.859,470,1.5161,8499.1,29.27
19:35:02.059,469,1.5129,8465.7,29.37
19:35:02.260,469,1.5129,8465.7,29.37
19:35:02.460,469,1.5129,8465.7,29.37
19:35:02.661,468,1.5097,8432.4,29.48
19:35:02.861,468,1.5097,8432.4,29.48
19:35:03.062,468,1.5097,8432.4,29.48
19:35:03.263,468,1.5097,8432.4,29.48
19:35:03.463,469,1.5129,8465.7,29.37
19:35:03.663,467,1.5065,8399.3,29.58
19:35:03.863,467,1.5065,8399.3,29.58
19:35:04.064,468,1.5097,8432.4,29.48
19:35:04.264,467,1.5065,8399.3,29.58
19:35:04.465,467,1.5065,8399.3,29.58
19:35:04.666,467,1.5065,8399.3,29.58
19:35:04.866,467,1.5065,8399.3,29.58
19:35:05.066,467,1.5065,8399.3,29.58
19:35:05.267,467,1.5065,8399.3,29.58
19:35:05.467,467,1.5065,8399.3,29.58
19:35:05.667,467,1.5065,8399.3,29.58
19:35:05.868,467,1.5065,8399.3,29.58
19:35:06.068,465,1.5000,8333.3,29.79
