time,code10,Vout,Rntc,TempC
19:36:44.229,471,1.5194,8532.6,29.16
19:36:44.230,472,1.5226,8566.2,29.06
19:36:44.230,472,1.5226,8566.2,29.06
19:36:44.230,472,1.5226,8566.2,29.06
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,471,1.5194,8532.6,29.16
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,471,1.5194,8532.6,29.16
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,471,1.5194,8532.6,29.16
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.231,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.232,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.233,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,471,1.5194,8532.6,29.16
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.234,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.235,472,1.5226,8566.2,29.06
19:36:44.236,472,1.5226,8566.2,29.06
19:36:44.236,472,1.5226,8566.2,29.06
19:36:44.236,472,1.5226,8566.2,29.06
19:36:44.237,472,1.5226,8566.2,29.06
19:36:44.237,472,1.5226,8566.2,29.06
19:36:44.237,472,1.5226,8566.2,29.06
19:36:44.237,472,1.5226,8566.2,29.06
19:36:44.241,472,1.5226,8566.2,29.06
19:36:44.241,472,1.5226,8566.2,29.06
19:36:44.241,472,1.5226,8566.2,29.06
19:36:44.241,472,1.5226,8566.2,29.06
19:36:44.241,472,1.5226,8566.2,29.06
19:36:44.242,472,1.5226,8566.2,29.06
19:36:44.242,472,1.5226,8566.2,29.06
19:36:44.242,472,1.5226,8566.2,29.06
19:36:44.242,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.243,472,1.5226,8566.2,29.06
19:36:44.244,472,1.5226,8566.2,29.06
19:36:44.244,472,1.5226,8566.2,29.06
19:36:44.245,472,1.5226,8566.2,29.06
19:36:44.246,472,1.5226,8566.2,29.06
19:36:44.246,472,1.5226,8566.2,29.06
19:36:44.247,472,1.5226,8566.2,29.06
19:36:44.248,472,1.5226,8566.2,29.06
19:36:44.248,472,1.5226,8566.2,29.06
19:36:44.248,472,1.5226,8566.2,29.06
19:36:44.248,472,1.5226,8566.2,29.06
19:36:44.248,472,1.5226,8566.2,29.06
19:36:44.249,472,1.5226,8566.2,29.06
19:36:44.249,472,1.5226,8566.2,29.06
19:36:44.249,472,1.5226,8566.2,29.06
19:36:44.249,472,1.5226,8566.2,29.06
19:36:44.250,472,1.5226,8566.2,29.06
19:36:44.251,1007,3.2484,629375.0,-53.85
19:36:44.251,480,1.5484,8839.8,28.23
19:36:44.252,480,1.5484,8839.8,28.23
19:36:44.253,480,1.5484,8839.8,28.23
19:36:44.269,480,1.5484,8839.8,28.23
19:36:44.289,480,1.5484,8839.8,28.23
19:36:44.309,480,1.5484,8839.8,28.23
19:36:44.329,478,1.5419,8770.6,28.43
19:36:44.349,480,1.5484,8839.8,28.23
19:36:44.368,480,1.5484,8839.8,28.23
19:36:44.388,480,1.5484,8839.8,28.23
19:36:44.408,480,1.5484,8839.8,28.23
19:36:44.429,479,1.5452,8805.1,28.33
19:36:44.449,480,1.5484,8839.8,28.23
19:36:44.468,480,1.5484,8839.8,28.23
19:36:44.488,479,1.5452,8805.1,28.33
19:36:44.509,480,1.5484,8839.8,28.23
19:36:44.528,480,1.5484,8839.8,28.23
19:36:44.548,480,1.5484,8839.8,28.23
19:36:44.569,481,1.5516,8874.5,28.12
19:36:44.589,480,1.5484,8839.8,28.23
19:36:44.609,480,1.5484,8839.8,28.23
19:36:44.629,480,1.5484,8839.8,28.23
19:36:44.649,481,1.5516,8874.5,28.12
19:36:44.669,480,1.5484,8839.8,28.23
19:36:44.689,480,1.5484,8839.8,28.23
19:36:44.708,480,1.5484,8839.8,28.23
19:36:44.729,480,1.5484,8839.8,28.23
19:36:44.749,480,1.5484,8839.8,28.23
19:36:44.770,480,1.5484,8839.8,28.23
